Timestamp,EAR,MAR,Face_Detected,Drowsy_Alert,Yawn_Alert,Event
2025-12-10 14:35:59,0.2012,0.2631,True,True,False,periodic
2025-12-10 14:36:00,0.2625,0.2657,True,False,False,DROWSY_END
2025-12-10 14:36:00,0.2714,0.4661,True,False,False,periodic
2025-12-10 14:36:01,0.1858,0.9959,True,False,False,periodic
2025-12-10 14:36:02,0.163,0.2761,True,False,False,periodic
2025-12-10 14:36:03,0.1772,0.2569,True,True,False,DROWSY_START
2025-12-10 14:36:03,0.2693,0.2863,True,False,False,DROWSY_END
2025-12-10 14:36:04,0.2672,0.2885,True,False,False,periodic
2025-12-10 14:36:05,0.0585,0.2642,True,False,False,periodic
2025-12-10 14:36:06,0.0529,0.2939,True,False,False,periodic
2025-12-10 14:36:07,0.0413,0.3004,True,True,False,DROWSY_START
2025-12-10 14:36:07,0.254,0.2898,True,False,False,DROWSY_END
2025-12-10 14:36:08,0.1013,0.2519,True,False,False,periodic
2025-12-10 14:36:09,0.1814,0.2618,True,False,False,periodic
2025-12-10 14:36:10,0.2262,0.2543,True,True,False,DROWSY_START
2025-12-10 14:36:10,0.2527,0.2485,True,False,False,DROWSY_END
2025-12-10 14:36:11,0.2474,0.2869,True,False,False,periodic
2025-12-10 14:36:12,0.2436,0.2781,True,False,False,periodic
2025-12-10 14:36:13,0.2015,0.2466,True,False,False,periodic
2025-12-10 14:36:14,0.1205,0.2609,True,False,False,periodic
2025-12-10 14:36:15,0.1069,0.2567,True,True,False,DROWSY_START
2025-12-10 14:36:16,0.125,0.2708,True,True,False,periodic
2025-12-10 14:36:17,0.2006,0.2679,True,True,False,periodic
2025-12-10 14:36:18,0.211,0.263,True,True,False,periodic
2025-12-10 14:36:19,0.1443,0.2782,True,True,False,periodic
2025-12-10 14:41:59,0.2247,0.2841,True,False,False,periodic
2025-12-10 14:42:00,0.2298,0.2877,True,False,False,periodic
2025-12-10 14:42:01,0.045,0.2836,True,False,False,periodic
2025-12-10 14:42:02,0.0495,0.2589,True,True,False,DROWSY_START
2025-12-10 14:42:02,0.0392,0.3054,True,True,False,periodic
2025-12-10 14:42:03,0.2281,0.2857,True,True,False,periodic
2025-12-10 14:42:04,0.2511,0.3063,True,False,False,DROWSY_END
2025-12-10 14:42:04,0.0777,0.2685,True,False,False,periodic
2025-12-10 14:42:05,0.0658,0.2703,True,False,False,periodic
2025-12-10 14:42:06,0.0428,0.2877,True,True,False,DROWSY_START
2025-12-10 14:42:06,0.0562,0.2851,True,True,False,periodic
2025-12-10 14:42:07,0.1789,0.2602,True,True,False,periodic
2025-12-10 14:42:08,0.1853,0.512,True,True,False,periodic
2025-12-10 14:42:09,0.1111,0.8094,True,True,True,YAWN_START
2025-12-10 14:42:10,0.1094,0.9329,True,True,True,periodic
2025-12-10 14:42:11,0.2288,0.7048,True,True,True,periodic
2025-12-10 14:42:11,0.2833,0.7217,True,False,True,DROWSY_END
2025-12-10 14:42:12,0.3464,0.6325,True,False,True,periodic
2025-12-10 14:42:13,0.2992,0.6862,True,False,True,periodic
2025-12-10 14:42:13,0.2374,0.5741,True,False,False,YAWN_END
2025-12-10 14:42:14,0.2099,0.2705,True,False,False,periodic
2025-12-10 14:42:15,0.1673,0.2611,True,False,False,periodic
2025-12-10 14:42:15,0.1685,0.2536,True,True,False,DROWSY_START
2025-12-10 14:42:16,0.1729,0.2654,True,True,False,periodic
2025-12-10 14:42:17,0.1699,0.2669,True,True,False,periodic
2025-12-10 14:43:03,0.3759,0.3017,True,False,False,periodic
2025-12-10 14:43:04,0.0519,0.3021,True,False,False,periodic
2025-12-10 14:43:05,0.0907,0.3027,True,False,False,periodic
2025-12-10 14:43:05,0.0405,0.2751,True,True,False,DROWSY_START
2025-12-10 14:43:06,0.0631,0.2867,True,True,False,periodic
2025-12-10 14:43:06,0.2589,0.3093,True,False,False,DROWSY_END
2025-12-10 14:43:07,0.2639,0.2972,True,False,False,periodic
2025-12-10 14:43:08,0.2823,0.2829,True,False,False,periodic
2025-12-10 14:43:09,0.2003,0.5066,True,False,False,periodic
2025-12-10 14:43:10,0.1085,0.8218,True,False,False,periodic
2025-12-10 14:43:10,0.0955,0.7974,True,False,True,YAWN_START
2025-12-10 14:43:10,0.1447,0.8194,True,True,True,DROWSY_START
2025-12-10 14:43:11,0.0965,0.8952,True,True,True,periodic
2025-12-10 14:43:12,0.1639,0.8336,True,True,True,periodic
2025-12-10 14:43:12,0.2532,0.9265,True,False,True,DROWSY_END
2025-12-10 14:43:13,0.2441,1.0261,True,False,True,periodic
2025-12-10 14:43:14,0.2286,0.9636,True,False,True,periodic
2025-12-10 14:43:15,0.1523,1.0438,True,False,True,periodic
2025-12-10 14:43:15,0.1444,1.0292,True,True,True,DROWSY_START
2025-12-10 14:43:16,0.1001,1.0667,True,True,True,periodic
